open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,tkbbav,tkqav,ign.
1544572800000,0.025957,0.026359,0.025827,0.025954,163830.14800000002,1544659199999,4273.20343403,109234,87388.709,2279.86631118,0
1544659200000,0.025955,0.026536,0.025811,0.026148,209169.864,1544745599999,5475.02279855,117388,95154.027,2491.26159987,0
1544745600000,0.026164,0.026305,0.025815,0.026,228967.56,1544831999999,5976.65084831,134938,139899.55,3652.4709509,0
1544832000000,0.026001,0.026163,0.025853,0.026076,154288.115,1544918399999,4018.28046548,111725,79919.1,2081.79388403,0
1544918400000,0.026085,0.026753,0.026077,0.026231,137636.49300000002,1545004799999,3643.02826901,104894,72875.204,1928.64136162,0
1545004800000,0.026232,0.027161,0.026161,0.026801,254595.164,1545091199999,6764.2999703999985,162753,140342.348,3729.7355979,0
1545091200000,0.026801,0.027586000000000003,0.026415,0.027493,347066.626,1545177599999,9286.57631792,190263,204617.144,5470.74558085,0
1545177600000,0.027493,0.02825,0.026881,0.026954,430273.581,1545263999999,11790.2083047,252460,243897.33,6688.30854885,0
1545264000000,0.026958,0.028665,0.026751,0.028094,392753.556,1545350399999,10772.93300906,245762,207407.504,5696.09175296,0
1545350400000,0.028087,0.028747,0.027501,0.028059,331529.632,1545436799999,9361.44760642,241293,179052.77399999995,5055.12247882,0
1545436800000,0.028051,0.0294,0.027791000000000003,0.029165,209087.616,1545523199999,5978.67283671,178523,106505.621,3044.35485497,0
1545523200000,0.029162,0.033125,0.029133,0.032837,455408.705,1545609599999,14539.07952266,288866,227928.229,7282.23992123,0
1545609600000,0.032845,0.037672,0.032745,0.034455,585615.65,1545695999999,20637.68070785,384754,306660.037,10813.56550512,0
1545696000000,0.034468,0.034732,0.032907,0.03407,390213.907,1545782399999,13194.65538746,247063,201765.65,6823.76938429,0
1545782400000,0.034069,0.035344,0.033408999999999994,0.034242,291513.201,1545868799999,9989.88688269,196995,151795.163,5199.19620271,0
1545868800000,0.034245,0.034432,0.031302,0.031898,281173.985,1545955199999,9203.6540388,181108,138792.13,4546.61033015,0
1545955200000,0.031899000000000004,0.0354,0.031506,0.03525,351840.058,1546041599999,11730.37893304,200439,179663.432,5991.86727888,0
1546041600000,0.035246,0.037441,0.034141000000000005,0.035983999999999995,384344.02,1546127999999,13631.02087056,236294,199048.592,7063.20908437,0
